High,High(0),High(1),High(2),High(3),High(4)
Year_bin(0),0.6943192064923355,0.2618213660245184,0.07331378299120235,0.0,0.0
Year_bin(1),0.2975653742110009,0.4382661996497373,0.30058651026392963,0.0,0.0
Year_bin(2),0.008115419296663661,0.2999124343257443,0.6231671554252199,0.014692378328741965,0.0
Year_bin(3),0.0,0.0,0.002932551319648094,0.9123048668503214,0.8666666666666667
Year_bin(4),0.0,0.0,0.0,0.07300275482093664,0.13333333333333333
