Price,Price(0),Price(1),Price(2),Price(3),Price(4)
High(0),0.9694055944055944,0.0,0.0,0.0,0.0
High(1),0.030594405594405596,0.9897626803164262,0.041212695405021316,0.0,0.0
High(2),0.0,0.010237319683573755,0.9568924680246329,0.0018373909049150207,0.0
High(3),0.0,0.0,0.0018948365703458077,0.994487827285255,0.028481012658227847
High(4),0.0,0.0,0.0,0.0036747818098300414,0.9715189873417721
