High,High(0),High(0),High(0),High(0),High(0),High(0),High(1),High(1),High(1),High(1),High(1),High(1),High(2),High(2),High(2),High(2),High(2),High(2),High(3),High(3),High(3),High(3),High(3),High(3),High(4),High(4),High(4),High(4),High(4),High(4)
Trend_class,Trend_class(0),Trend_class(1),Trend_class(2),Trend_class(3),Trend_class(4),Trend_class(5),Trend_class(0),Trend_class(1),Trend_class(2),Trend_class(3),Trend_class(4),Trend_class(5),Trend_class(0),Trend_class(1),Trend_class(2),Trend_class(3),Trend_class(4),Trend_class(5),Trend_class(0),Trend_class(1),Trend_class(2),Trend_class(3),Trend_class(4),Trend_class(5),Trend_class(0),Trend_class(1),Trend_class(2),Trend_class(3),Trend_class(4),Trend_class(5)
Quarter(1),0.024793388429752067,0.2392857142857143,0.32432432432432434,0.2695417789757412,0.24507658643326038,0.2602739726027397,0.0,0.07547169811320754,0.2564102564102564,0.2918149466192171,0.2427843803056027,0.25218150087260033,0.06666666666666667,0.040697674418604654,0.2608695652173913,0.060714285714285714,0.44582593250444047,0.2495921696574225,0.0,0.6060606060606061,0.0660377358490566,0.4264705882352941,0.3624454148471616,0.1817440912795436,1.0,0.0,0.0,0.25,0.03592814371257485,0.3611111111111111
Quarter(2),0.4214876033057851,0.07857142857142857,0.23166023166023167,0.2641509433962264,0.424507658643326,0.17397260273972603,0.6888888888888889,0.20754716981132076,0.1794871794871795,0.302491103202847,0.15619694397283532,0.23036649214659685,0.45454545454545453,0.08139534883720931,0.38735177865612647,0.18928571428571428,0.2753108348134991,0.2936378466557912,0.02040816326530612,0.13636363636363635,0.0660377358490566,0.23161764705882354,0.2074235807860262,0.31295843520782396,0.0,0.0,0.0,0.25,0.40119760479041916,0.04861111111111111
Quarter(3),0.45454545454545453,0.28214285714285714,0.19305019305019305,0.15633423180592992,0.2100656455142232,0.3041095890410959,0.3111111111111111,0.07547169811320754,0.19658119658119658,0.14590747330960854,0.31918505942275044,0.24345549738219896,0.4727272727272727,0.5813953488372093,0.20553359683794467,0.41785714285714287,0.13676731793960922,0.1859706362153344,0.9183673469387755,0.015151515151515152,0.2830188679245283,0.2610294117647059,0.1091703056768559,0.29421352893235536,0.0,0.0,0.0,0.25,0.25149700598802394,0.2638888888888889
Quarter(4),0.09917355371900827,0.4,0.25096525096525096,0.30997304582210244,0.12035010940919037,0.26164383561643834,0.0,0.6415094339622641,0.36752136752136755,0.2597864768683274,0.28183361629881154,0.27399650959860383,0.006060606060606061,0.29651162790697677,0.14624505928853754,0.33214285714285713,0.14209591474245115,0.2707993474714519,0.061224489795918366,0.24242424242424243,0.5849056603773585,0.08088235294117647,0.32096069868995636,0.2110839445802771,0.0,1.0,1.0,0.25,0.31137724550898205,0.3263888888888889
