Price,Price(0),Price(0),Price(0),Price(0),Price(0),Price(1),Price(1),Price(1),Price(1),Price(1),Price(2),Price(2),Price(2),Price(2),Price(2),Price(3),Price(3),Price(3),Price(3),Price(3),Price(4),Price(4),Price(4),Price(4),Price(4)
Year_bin,Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4)
Vol.(0),0.4378238341968912,0.14163090128755365,0.022222222222222223,0.2,0.2,0.1556350626118068,0.08788853161843516,0.0106544901065449,0.2,0.2,0.2594594594594595,0.14130434782608695,0.000784313725490196,0.0,0.2,0.2,0.2,0.0,0.0015105740181268882,0.10126582278481013,0.2,0.2,0.2,0.014652014652014652,0.16279069767441862
Vol.(1),0.241580310880829,0.3032904148783977,0.1111111111111111,0.2,0.2,0.31663685152057247,0.25509110396570206,0.0730593607305936,0.2,0.2,0.40540540540540543,0.2996894409937888,0.02196078431372549,0.0,0.2,0.2,0.2,0.0,0.01812688821752266,0.5443037974683544,0.2,0.2,0.2,0.315018315018315,0.627906976744186
Vol.(2),0.19170984455958548,0.2918454935622318,0.26666666666666666,0.2,0.2,0.334525939177102,0.28938906752411575,0.3105022831050228,0.2,0.2,0.24324324324324326,0.358695652173913,0.14745098039215687,0.0,0.2,0.2,0.2,0.0,0.0931520644511581,0.26582278481012656,0.2,0.2,0.2,0.5128205128205128,0.11627906976744186
Vol.(3),0.10362694300518134,0.1688125894134478,0.4444444444444444,0.2,0.2,0.15026833631484796,0.2357984994640943,0.4155251141552511,0.2,0.2,0.07567567567567568,0.15993788819875776,0.3466666666666667,0.0,0.2,0.2,0.2,0.030303030303030304,0.32779456193353473,0.08227848101265822,0.2,0.2,0.2,0.14652014652014653,0.09302325581395349
Vol.(4),0.025259067357512953,0.0944206008583691,0.15555555555555556,0.2,0.2,0.04293381037567084,0.13183279742765272,0.1902587519025875,0.2,0.2,0.016216216216216217,0.040372670807453416,0.4831372549019608,1.0,0.2,0.2,0.2,0.9696969696969697,0.5594159113796576,0.006329113924050633,0.2,0.2,0.2,0.01098901098901099,0.0
