Price,Price(0),Price(0),Price(0),Price(0),Price(0),Price(1),Price(1),Price(1),Price(1),Price(1),Price(2),Price(2),Price(2),Price(2),Price(2),Price(3),Price(3),Price(3),Price(3),Price(3),Price(4),Price(4),Price(4),Price(4),Price(4)
Year_bin,Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4),Year_bin(0),Year_bin(1),Year_bin(2),Year_bin(3),Year_bin(4)
Direction_quarter(0),0.5038860103626943,0.4234620886981402,0.2,0.5,0.5,0.38998211091234347,0.45230439442658094,0.30441400304414,0.5,0.5,1.0,0.6521739130434783,0.3686274509803922,0.0,0.5,0.5,0.5,0.45454545454545453,0.2809667673716012,0.2911392405063291,0.5,0.5,0.5,0.5641025641025641,0.37209302325581395
Direction_quarter(1),0.4961139896373057,0.5765379113018598,0.8,0.5,0.5,0.6100178890876565,0.5476956055734191,0.69558599695586,0.5,0.5,0.0,0.34782608695652173,0.6313725490196078,1.0,0.5,0.5,0.5,0.5454545454545454,0.7190332326283988,0.7088607594936709,0.5,0.5,0.5,0.4358974358974359,0.627906976744186
